,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-02,106.446082915652,63.84769828172732,156.97807934858162,106.446082915652,106.446082915652,4.724785144374071,4.724785144374071,4.724785144374071,4.724785144374071,4.724785144374071,4.724785144374071,0.0,0.0,0.0,111.17086806002607
1,2020-01-03,106.68791059059548,62.8781743826765,159.39889615119617,106.68791059059548,106.68791059059548,2.1872356016034344,2.1872356016034344,2.1872356016034344,2.1872356016034344,2.1872356016034344,2.1872356016034344,0.0,0.0,0.0,108.87514619219891
2,2020-01-06,107.41339361542585,66.31737934939846,156.28797040730043,107.41339361542585,107.41339361542585,4.480698481252695,4.480698481252695,4.480698481252695,4.480698481252695,4.480698481252695,4.480698481252695,0.0,0.0,0.0,111.89409209667855
3,2020-01-07,107.6552212903693,61.63245060548423,156.92919940761507,107.6552212903693,107.6552212903693,4.564475776255374,4.564475776255374,4.564475776255374,4.564475776255374,4.564475776255374,4.564475776255374,0.0,0.0,0.0,112.21969706662468
4,2020-01-08,107.89704896531278,63.5943706555034,158.83413600269301,107.89704896531278,107.89704896531278,4.626443976002198,4.626443976002198,4.626443976002198,4.626443976002198,4.626443976002198,4.626443976002198,0.0,0.0,0.0,112.52349294131497
5,2020-01-09,108.13887664025623,67.98839378793473,163.6888607059111,108.13887664025623,108.13887664025623,4.724785144377481,4.724785144377481,4.724785144377481,4.724785144377481,4.724785144377481,4.724785144377481,0.0,0.0,0.0,112.8636617846337
6,2020-01-10,108.3807043151997,67.32041357573384,157.21883827002276,108.3807043151997,108.3807043151997,2.187235601647745,2.187235601647745,2.187235601647745,2.187235601647745,2.187235601647745,2.187235601647745,0.0,0.0,0.0,110.56793991684744
7,2020-01-13,109.10618734003008,68.27280338119138,162.32670397945415,109.10618734003008,109.10618734003008,4.480698481255708,4.480698481255708,4.480698481255708,4.480698481255708,4.480698481255708,4.480698481255708,0.0,0.0,0.0,113.58688582128579
8,2020-01-14,109.34801501497354,63.950919577397656,161.562695663826,109.34801501497354,109.34801501497354,4.564475776253877,4.564475776253877,4.564475776253877,4.564475776253877,4.564475776253877,4.564475776253877,0.0,0.0,0.0,113.91249079122741
9,2020-01-15,109.58984267041744,67.82593306766522,159.94943191247714,109.58984267041744,109.58984267041744,4.626443976001153,4.626443976001153,4.626443976001153,4.626443976001153,4.626443976001153,4.626443976001153,0.0,0.0,0.0,114.2162866464186
10,2020-01-16,109.83167032586135,65.83951610314399,164.34299777264988,109.83167032586135,109.83167032586135,4.724785144380893,4.724785144380893,4.724785144380893,4.724785144380893,4.724785144380893,4.724785144380893,0.0,0.0,0.0,114.55645547024224
11,2020-01-17,110.07349798130525,69.4043048865908,162.605343943747,110.07349798130525,110.07349798130525,2.1872356016162566,2.1872356016162566,2.1872356016162566,2.1872356016162566,2.1872356016162566,2.1872356016162566,0.0,0.0,0.0,112.2607335829215
12,2020-01-21,111.04080860308085,70.66350699028393,166.11328610453066,111.04080860308085,111.04080860308085,4.56447577625238,4.56447577625238,4.56447577625238,4.56447577625238,4.56447577625238,4.56447577625238,0.0,0.0,0.0,115.60528437933323
13,2020-01-22,111.28263625852475,66.98387686873218,161.97896717142754,111.28263625852475,111.28263625852475,4.62644397600418,4.62644397600418,4.62644397600418,4.62644397600418,4.62644397600418,4.62644397600418,0.0,0.0,0.0,115.90908023452893
14,2020-01-23,111.52446391396866,68.77680843539036,162.80847422131993,111.52446391396866,111.52446391396866,4.724785144384304,4.724785144384304,4.724785144384304,4.724785144384304,4.724785144384304,4.724785144384304,0.0,0.0,0.0,116.24924905835296
15,2020-01-24,111.76629156941253,66.645268505845,160.0141158112211,111.76629156941253,111.76629156941253,2.1872356016163654,2.1872356016163654,2.1872356016163654,2.1872356016163654,2.1872356016163654,2.1872356016163654,0.0,0.0,0.0,113.9535271710289
16,2020-01-27,112.49177453574423,68.96172744539886,162.2836392905578,112.49177453574423,112.49177453574423,4.480698481273145,4.480698481273145,4.480698481273145,4.480698481273145,4.480698481273145,4.480698481273145,0.0,0.0,0.0,116.97247301701738
17,2020-01-28,112.73360216379167,68.90888529437832,165.86025835534312,112.73360216379167,112.73360216379167,4.564475776248849,4.564475776248849,4.564475776248849,4.564475776248849,4.564475776248849,4.564475776248849,0.0,0.0,0.0,117.29807794004053
18,2020-01-29,112.97542979183909,70.15627793047511,163.616652557292,112.97542979183909,112.97542979183909,4.626443975999463,4.626443975999463,4.626443975999463,4.626443975999463,4.626443975999463,4.626443975999463,0.0,0.0,0.0,117.60187376783855
19,2020-01-30,113.21725741988651,71.0968986895729,163.95588541323997,113.21725741988651,113.21725741988651,4.724785144379722,4.724785144379722,4.724785144379722,4.724785144379722,4.724785144379722,4.724785144379722,0.0,0.0,0.0,117.94204256426623
20,2020-01-31,113.45908504793394,66.32331425566305,163.2269580525836,113.45908504793394,113.45908504793394,2.1872356016501433,2.1872356016501433,2.1872356016501433,2.1872356016501433,2.1872356016501433,2.1872356016501433,0.0,0.0,0.0,115.64632064958408
21,2020-02-03,114.18456793207622,69.19028397513662,165.4283905594358,114.18456793207622,114.18456793207622,4.480698481241,4.480698481241,4.480698481241,4.480698481241,4.480698481241,4.480698481241,0.0,0.0,0.0,118.66526641331723
22,2020-02-04,114.42639556012365,71.30485716058314,167.4356440043137,114.42639556012365,114.42639556012365,4.564475776247354,4.564475776247354,4.564475776247354,4.564475776247354,4.564475776247354,4.564475776247354,0.0,0.0,0.0,118.990871336371
23,2020-02-05,114.66822318817107,66.91634452380661,167.70528611757848,114.66822318817107,114.66822318817107,4.62644397600249,4.62644397600249,4.62644397600249,4.62644397600249,4.62644397600249,4.62644397600249,0.0,0.0,0.0,119.29466716417356
24,2020-02-06,114.91005081621852,72.06803007387005,168.87226094522703,114.91005081621852,114.91005081621852,4.724785144374367,4.724785144374367,4.724785144374367,4.724785144374367,4.724785144374367,4.724785144374367,0.0,0.0,0.0,119.63483596059288
25,2020-02-07,115.1518784161859,65.06483958075718,164.140461802994,115.1518784161859,115.1518784161859,2.1872356016502517,2.1872356016502517,2.1872356016502517,2.1872356016502517,2.1872356016502517,2.1872356016502517,0.0,0.0,0.0,117.33911401783615
26,2020-02-10,115.87736121608803,73.04080814663367,170.2365012423076,115.87736121608803,115.87736121608803,4.480698481249718,4.480698481249718,4.480698481249718,4.480698481249718,4.480698481249718,4.480698481249718,0.0,0.0,0.0,120.35805969733775
27,2020-02-11,116.11918881605541,70.70358733614482,171.75681624383972,116.11918881605541,116.11918881605541,4.564475776257408,4.564475776257408,4.564475776257408,4.564475776257408,4.564475776257408,4.564475776257408,0.0,0.0,0.0,120.68366459231282
28,2020-02-12,116.36101641602279,71.91482760138247,169.67456357490116,116.36101641602279,116.36101641602279,4.626443976005516,4.626443976005516,4.626443976005516,4.626443976005516,4.626443976005516,4.626443976005516,0.0,0.0,0.0,120.98746039202831
29,2020-02-13,116.60284401599017,73.98723325186057,169.21679833932814,116.60284401599017,116.60284401599017,4.724785144369784,4.724785144369784,4.724785144369784,4.724785144369784,4.724785144369784,4.724785144369784,0.0,0.0,0.0,121.32762916035996
